Reference,Label
"Kyratsis, A. (2004).Talk and interaction among children and the co-construction of peer groups and peer culture. Annual Review of Anthropology, 33(4), 231-247.",Jurnal
"Parker, G., & Roy, K. (2001). Adolescent depression: A review. Australian and New Zealand Journal of Psychiatry, 35, 572-580.",Jurnal
"Zhang, B., Cohen, J., Ferrence, R., & Rehm, J. (2006). The impact of tobacco tax cuts on smoking initiation among Canadian young adults. American Journal of Preventive Medicine, 30, 474-479.",Jurnal
"The pain of being a caffeine freak. (2001, October 6). New Scientist, 172(2311), 27.",Jurnal
"E. P. Wigner, ""Theory of traveling wave optical laser,"" Phys. Rev., vol. 134, pp. A635-A646, Dec. 1965.",Jurnal
"J. U. Duncombe, ""Infrared navigation - Part I: An assessment of feasability,"" IEEE Trans. Electron. Devices, vol. ED-11, pp. 34-39, Jan. 1959.",Jurnal
"G. Liu, K. Y. Lee, and H. F. Jordan, ""TDM and TWDM de Bruijn networks and shufflenets for optical communications,"" IEEE Trans. Comp., vol. 46, pp. 695-701, June 1997.",Jurnal
"J. R. Beveridge and E. M. Riseman, ""How easy is matching 2D line models using local search?"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 19, pp. 564-579, June 1997.",Jurnal
"I. S. Qamber, ""Flow graph development method,"" Microelectronics Reliability, vol. 33, no. 9, pp. 1387-1395, Dec. 1993.",Jurnal
"E. H. Miller, ""A note on reflector arrays,"" IEEE Transactions on Antennas and Propagation, to be published.",Jurnal
"Allison, Gary W. 1999. ""The Implications of Experimental Design for Biodiversity Manipulations."" American Naturalist 153, no. 1 (January): 26-45.",Jurnal
"Hanna, K. 2007. ""Adsorption of Aromatic Carboxylate Compounds on the Surface of Synthesized Iron Oxide-coated Sands."" Applied Geochemistry 22, no. 9 (September): 2045-2053.",Jurnal
"Kerr, Stephen J., Andrea Mant, Fiona E. Horn, Kevin McGeechan, and Geoffrey P. Sayer. 2003. ""Lessons From Early Large-scale Adoption of Celecoxib and Rofecoxib by Australian General Practitioners."" Medical Journal of Australia 179, no. 8 (October): 403-407.",Jurnal
"Zhang, B., J. Cohen, R. Ferrence and J. Rehm. 2006. ""The Impact of Tobacco Tax Cuts on Smoking Initiation Among Canadian Young Adults."" American Journal of Preventive Medicine 30, no. 6 (June): 474-479.",Jurnal
"""Who Will Regulate the Veterinary Profession of the Future?"" 2004. Veterinary Record 154, no. 15 (April): 450-451.",Jurnal
"Döring, Dorothea, Anita Roscher, Fabian Scheipl, Helmut Küchenhoff, and Michael H. Erhard. 2009. ""Fear-related Behaviour of Dogs in Veterinary Practice."" The Veterinary Journal 182, no. 1 (October): 38-43. https://doi.org/10.1016/j.tvjl.2008.05.006.",Jurnal
"Elwood, C., P. Devauchelle, J. Elliott, V. Freiche, A. J. German, M. Gualtieri, E. Hall, E. Den Hertog, R. Neiger, D. Peeters, X. Roura, and K. Savary-Bataille. 2010. ""Emesis in Dogs: A Review."" Journal of Small Animal Practice 51, no. 1 (January): 4-22. https://doi.org/10.1111/j.1748-5827.2009.00820.x.",Jurnal
"McCoy, T. 2010. ""Are Antihistamines Effective in Canine Atopy?"" Veterinary Medicine 105, no. 10 (October): 464. ProQuest.",Jurnal
"Oskouizadeh, K., T. Zahraei-Salehi, and S. J. Aledavood. 2010. ""Detection of Bartonella henselae in Domestic Cats' Saliva."" Iranian Journal of Microbiology 2, no. 2 (June): 80-84. CAB Abstracts Full Text Select.",Jurnal
"van Vuren, Petrus Jansen, and Janusz T. Paweska. 2010. ""Comparison of Enzyme-linked Immunosorbent Assay-based Techniques for the Detection of Antibody to Rift Valley Fever Virus in Thermochemically Inactivated Sheep Sera."" Vector-Borne and Zoonotic Diseases 10, no. 7 (September): 697-699. https://doi.org/10.1089/vbz.2009.0213.",Jurnal
"Meng, X. J., B. Wiseman, F. Elvinger, D. K. Guenette, T. E. Toth, R. E. Engle, S. U. Emerson, and R. H. Purcell. 2002. ""Prevalence of Antibodies to Hepatitis E Virus in Veterinarians Working with Swine and in Normal Blood Donors in the United States and Other Countries."" Journal of Clinical Microbiology 40, no. 1 (January): 117-122. https://doi.org/10.1128/JCM.40.1.117-122.2002.",Jurnal
"Bisias, G., A. Burriel, S. Boutsini, S. Kritas, and L. Leontides. 2010. ""A Serological Investigation Of Some Abortion Causes Among Small Ruminant Flocks In Greece."" The Internet Journal of Veterinary Medicine 8 (2): 27+. http://www.ispub.com/journal/the_internet_journal_of_veterinary_medicine/volume_8_number_2_27/article/a-serological-investigation-of-some-abortion-causes-among-small-ruminant-flocks-in-greece.html.",Jurnal
"Altobelli, T. (2009). Family violence and parenting: Future directions in practice. Australian Journal of Family Law, 23, 194. Retrieved January 22, 2010, from LexisNexis AU.",Jurnal
"Borman, W. C., Hanson, M. A., Oppler, S. H., Pulakos, E. D., & White, L. A. (1993). Role of early supervisory experience in supervisor performance. Journal of Applied Psychology, 78, 443-449. doi:10.1037/0021-9010.78.3.443",Jurnal
"Gilbert, D. G., Mc Clernon, J. F., Rabinovich, N. E., Sugai, C., Plath, L.C., Asgaard, G., ... Botros, N. (2004). Effects of quitting smoking on EEG activation and attention last for more than 31 days and are more severe with stress, dependence, DRD2 A1 allele, and depressive traits. Nicotine and Tobacco Research, 6, 249-267. doi:10.1080/14622200410001676305",Jurnal
"Patton, G. C., et al. (1996). Is smoking associated with depression and anxiety in teenagers? American Journal of Public Health, 86, 225+. Retrieved November 20, 2001, from ProQuest.",Jurnal
"Vogels, A. G. C., Crone, M. R., Hoekstra, F., & Reijneveld, S.A. (2009).  Comparing three short questionnaires to detect psychosocial dysfunction among primary school children: a randomized method. BMC Public Health, 9, 489. doi:10.1186/1471-2458-9-489",Jurnal
"Bond, L., Carlin, J. B., Thomas, L., Rubin, K., & Patton, G. (2001). Does bullying cause emotional problems? A prospective study of young teenagers. BMJ, 323, 480-484. doi:10.1136/bmj.323.7311.480",Jurnal
"Sillick, T. J., & Schutte, N. S. (2006). Emotional intelligence and self-esteem mediate between perceived early parental love and adult happiness. E-Journal of Applied Psychology, 2(2), 38–48. Retrieved from http://ojs.lib.swin.edu.au/index.php/ejap/article/view/71/100",Jurnal
"H. K. Edwards and V. Sridhar, ""Analysis of software requirements engineering exercises in a global virtual team setup,"" Journal of Global Information Management, vol. 13, no. 2, p. 21+, April-June 2005. [Online]. Available: Academic OneFile, http://find.galegroup.com. [Accessed May 31, 2005].",Jurnal
"A. Holub, ""Is software engineering an oxymoron?"" Software Development Times, p. 28+, March 2005. [Online]. Available: ProQuest, http://il.proquest.com. [Accessed May 23, 2005].",Jurnal
"H. Ayasso and A. Mohammad-Djafari, ""Joint NDT Image Restoration and Segmentation Using Gauss–Markov–Potts Prior Models and Variational Bayesian Computation,"" IEEE Transactions on Image Processing, vol. 19, no. 9, pp. 2265-77, 2010. [Online]. Available: IEEE Xplore, http://www.ieee.org. [Accessed Sept. 10, 2010].",Jurnal
"[4] A. Altun, ""Understanding hypertext in the context of reading on the web: Language learners' experience,"" Current Issues in Education, vol. 6, no. 12, July 2003. [Online]. Available: http://cie.ed.asu.edu/volume6/number12/. [Accessed Dec. 2, 2004].",Jurnal
"P. H. C. Eilers and J. J. Goeman, ""Enhancing scatterplots with smoothed densities,"" Bioinformatics, vol. 20, no. 5, pp. 623-628, March 2004. [Online]. Available: www.oxfordjournals.org. [Accessed Sept. 18, 2004].",Jurnal
"Holmes, Christopher. ""The Limits of World Literature."" Literature Compass, vol. 13, no. 9, 2016, pp. 572–584. Wiley Online, doi: 10.1111/lic3.12338.",Jurnal
"Hill, Thomas D. ""Beowulf's Roman rites: Roman ritual and Germanic tradition."" The Journal of English and Germanic Philology, vol. 106, no. 3, pp. 325-335. Academic OneFile, go.galegroup.com/ps/i.do?p=AONE&sw=w&u=murdoch&v=2.1&id=GALE%7CA406902269&it=r&asid=9907188cb862743c5dc1c89bbd48ff1a.",Jurnal
"Spencer, H.L. ""Book and Verse: A Guide to Middle English Biblical Literature."" Review of English Studies, vol. 52, no. 206, 2001, p. 249, Abstract. ProQuest, search.proquest.com.libproxy.murdoch.edu.au/docview/204775920?accountid=12629.",Jurnal
"Chartier, Roger. ""Everything and Nothing: The Many Lives of William Shakespeare."" Journal of Early Modern Studies, vol. 5, 2016, pp. 17-26, doi:10.13128/JEMS-2279-7149-18066.",Jurnal
"Etherington, Ben, and  Jarad Zimbler. ""Field, Material, Technique: On Renewing Postcolonial Literary Criticism."" The Journal of Commonwealth Literature, vol. 49, no. 3, pp. 279-297, doi: 10.1177/0021989414538435.",Jurnal
"Australia, Department of Arts and Culture. Australian Best Practice Guide to Collecting Cultural Material, The Dept., 2015, www.arts.gov.au/publications/australian-best-practice-guide-collecting-cultural-material.",Web
"Miranti, Riyana, et al. Calling Australia Home: The Characteristics and Contributions of Australia's Migrants. NATSEM, 2010, www.natsem.canberra.edu.au/storage/AMP_NATSEM_27.pdf.",Web
"Australian Bureau of Statistics. ""Literature and Print Media."" Arts and Culture in Australia: A Statistical Overview (cat. no. 4172.0). ABS, 2014, www.abs.gov.au/ausstats/abs@.nsf/Lookup/4172.0main+features142014.",Web
"Western Australia, Office of Multicultural Interests. Language Services Policy 2014 and Guidelines. OMI, 2014, www.omi.wa.gov.au/resources/publications/Languages/Language_Services_Policy_2014.pdf.",Web
Library Board of Western Australia Act 1951 (WA). www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_25612.pdf/$FILE/Library Board of Western Australia Act 1951 - [04-f0-04].pdf?OpenElement.,Web
"Jane Austen Society of North America. Austen on Film, 24 Aug. 2015, www.jasna.org/info/about_austen.html.",Web
"University of Virginia, Institute for Advanced Technologies in the Humanities. The World of Dante, 1996-2017, www.worldofdante.org/index.html",Web
"Rushdie, Salman. Salman Rushdie Official Author Site, 2017, www.salmanrushdie.com/",Web
"Morris, Sylvia. ""Anticipating Macbeth on Film."" The Shakespeare Blog, 9 Jun. 2015, theshakespeareblog.com/2015/06/anticipating-macbeth-on-film/.",Web
Australian Pesticides and Veterinary Medicines Authority. 2003. Australian Agricultural and Veterinary Chemicals Management System: A Report to Government by the APVMA - June 2003. Canberra: APVMA. http://www.apvma.gov.au/publications/reports/docs/registration_review_report_,Web
"Shiell, Kevin. 2006. Animal Welfare Inventory Report to AAWS - Livestock Production Working Group. http://www.daff.gov.au/__data/assets/pdf_file/0014/152105/aaws_stocktake_livestock_prod.pdf.",Web
"Australian Bureau of Statistics. 2001. Veterinary Services, Australia, 1999-2000 (cat. no. 8564.0). AusStats, http://www.abs.gov.au/ausstats/abs@.nsf/mf/8564.0/.",Web
"Australia. Department of Agriculture, Fisheries and Forestry. 2003. Quarantine Requirements for the Importation of Live Laboratory Rats and Mice and Their Reproductive Material. http://www.daff.gov.au/__data/assets/pdf_file/0016/13822/2003-06a.pdf.",Web
"Tudor, Ken. 2015. ""Protecting pets in abusive human relationships."" The Daily Vet (blog), June 9, 2015. http://www.petmd.com/blogs/thedailyvet/ken-tudor/2015/june/pets-abusive-human-relationships-32819.",Web
"Murray, G. (2005). A duty of care to children and young people in Western Australia: Report on the quality assurance and review of unsubstantiated allegations of abuse in care: 1 April 2004 to 12 September 2005. Retrieved from Western Australia, Department of Child Protection website: http://www.community.wa.gov.au/NR/rdonlyres/851183A4-A822-4592-AB66-C410E453AEEC/0/DCDRPTGwennMurrayreportwithcover2006.pdf",Web
How to cite references (1996). Retrieved from Murdoch University Library: http://wwwlib.murdoch.edu.au/find/citation/,Web
"Australian Bureau of Statistics. (1997). Mental health and wellbeing: Profile of adults, Western Australia (cat. no. 4326.5). Retrieved from AusStats: http://www.abs.gov.au/ausstats",Web
Australia. Department of Health and Aged Care. (2000). National youth suicide prevention strategy. Retrieved from http://www.health.gov.au/hsdd/mentalhe/sp/nysps/about.htm,Web
"Goldberg, I. (2000). Dr. Ivan's depression central. Retrieved from http://www.psycom.net/depression.central.html",Web
"Flower, R. (2015, June 1). How a simple formula for resolving problems and conflict can change your reality [Blog post]. Pick The Brain. Retrieved from http://www.pickthebrain.com/blog/how-a-simple-formula-for-resolving-problems-and-conflict-can-change-your-reality/",Web
"European Telecommunications Standards Institute, “Digital Video Broadcasting (DVB): Implementation guidelines for DVB terrestrial services; transmission aspects,” European Telecommunications Standards Institute, ETSI TR-101-190, 1997. [Online]. Available: http://www.etsi.org. [Accessed: Aug. 17, 1998].",Web
"“A ‘layman’s’ explanation of Ultra Narrow Band technology,” Oct. 3, 2003. [Online]. Available: http://www.vmsk.org/Layman.pdf. [Accessed: Dec. 3, 2003].",Web
"Australian Bureau of Statistics, Engineering Construction Activity (cat. no. 8762.0). Canberra: ABS, 2010. [Online]. Available from AusStats,  http://www.abs.gov.au/ausstats. [Accessed: Sept. 7, 2010].",Web
"Australia. Department of of Education, Employment and Workplace Relations, Survey on Changes in Awareness and Understanding of Science, Engineering and Technology: Report on findings. Canberra: The Department; 2008. [Online]. Available: http://www.dest.gov.au/NR/rdonlyres/241263CF-8585-4EEC-B104-C947C6C18029/23713/ SurveyonChangesinawarenessunderstandingofSET.pdf. [Accessed: Sept. 7, 2010].",Web
"Australian Energy Market Act 2004 (Cth). [Online]. Available: https://www.legislation.gov.au/Series/C2004A01335. [Accessed: Apr. 11, 2019].",Web
"Alumina Refinery Agreement Act 1961 (WA). [Online]. Available: https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_26707.pdf/$FILE/Alumina%20Refinery%20Agreement%20Act%201961%20-%20%5B03-a0-03%5D.pdf?OpenElement. [Accessed: Apr. 11, 2019].",Web
"G. Sussman, ""Home page - Dr. Gerald Sussman,"" July 2002. [Online]. Available: http://www.comm.pdx.edu/faculty/Sussman/sussmanpage.htm. [Accessed: Sept. 12, 2004].",Web
"J. Geralds, ""Sega Ends Production of Dreamcast,"" vnunet.com, para. 2, Jan. 31, 2001. [Online]. Available: http://nl1.vnunet.com/news/1116995. [Accessed: Sept. 12, 2004].",Web
"J. A. Specavek, ""Fracking and the Stresses it Adds to Railroads,"" It's the Rheo Thing, May 18, 2015. [Online]. Available: http://www.rheothing.com/2015/05/fracking-and-stress-adds-to-railroads.html. [Accessed: Jun. 9, 2015].",Web
"Cancer Council 2017, Causes of cancer, Cancer Council, viewed 21 May 2018,   <https://www.cancer.org.au/about-cancer/causes-of-cancer/>.",Web
"The Guardian view on Jeremy Corbyn and Ireland: all about the border 2018, The Guardian, viewed 24 May 2018,  <https://www.theguardian.com/commentisfree/2018/may/24/the-guardian-view-on-jeremy-corbyn-and-ireland-all-about-the-border>.",Web
"Brown, S n.d., 12 ways to save money by using what you’ve got on hand, viewed 29 May 2018, <https://www.stayathomemum.com.au/my-money/money-saving-tips/dozen-hidden-ways-youre-saving-money-didnt-even-realise/>.",Web
"Dugdale, S,  Holeton, R,  Finkelstein, A,  Johnston, J & Smith, R 2018, 7 Things you should know about emerging classroom technologies, Educause, viewed 29 June 2018, <https://library.educause.edu/resources/2018/4/7-things-you-should-know-about-emerging-classroom-technologies>.",Web
"Australian Building Codes Board 2017, Watermark Certification Scheme, Department of Industry, Innovation and Science, Canberra, viewed 21 May 2018, <https://www.abcb.gov.au/Resources/Publications/Certification/WaterMark-Brochure>.",Web
"Department of the Prime Minister and Cabinet 2018, Closing the gap - Prime Minister's report 2018, Department of the Prime Minister and Cabinet, Canberra, viewed 13 February, <https://www.pmc.gov.au/sites/default/files/reports/closing-the-gap-2018/sites/default/files/ctg-report-20183872.pdf?a=1>.",Web
"Bentliff, G. and O’Donovan, T. (1998) Diffusion artefacts of scanning tunnelling electron microscopy. Fifth International Workshop of Electron Microscopic Techniques. Humbolt, Canada.",Seminar
"Garling, H., Garling, 0. and Slattery Z. (1997) Disposal of the products of fermentation. Second European Conference on Catabolytes. Rogera, Spain.",Seminar
"Bickman, L., & Ellis, H. (Eds.). (1990). Preparing psychologists for the 21st century: Proceedings of the National Conference on Graduate Education in Psychology, University of Utah, 1988. Hillsdale, NJ: L. Erlbaum.",Seminar
"Brown, S., & Caste, V. (2004, May). Integrated obstacle detection framework. Paper presented at the IEEE Intelligent Vehicles Symposium, Detroit, MI.",Seminar
"Balakrishnan, R. (2006, March 25-26). Why aren't we using 3d user interfaces, and will we ever? Paper presented at the IEEE Symposium on 3D User Interfaces. doi:10.1109/VR.2006.148",Seminar
"Wilkinson, R. (1999). Sociology as a marketing feast. In M. Collis, L. Munro, & S. Russell (Eds.), Sociology for the New Millennium. Paper presented at The Australian Sociological Association, Monash University, Melbourne, 7-10 December (pp. 281-289). Churchill, VIC: Celts.",Seminar
"Tomscha, S 2017, ‘Wetlands for people and place: developing a blueprint for ecosystem service restoration in wetlands’, paper presented at the EIANZ Annual Conference, Tu Kaha: Stand tall, Wellington, New Zealand, 29 October -1 November 2017.",Seminar
"H. Curry, ""The playful library cocktail: Librarians shaken but not stirred,"" presented at CAVAL Reference Interest Group Seminar, Recipes for the Information Literacy melting pot: Traditional ingredients with a modern flavour, Melbourne, Australia, 2012.",Seminar
"Jones, D. (1999) ‘Developing big business’, Large firms policy and research conference. University of Birmingham, 18-19 December. Leeds: Institute for Large Businesses.",Seminar
"Bird, R & Smart, M 2010, ‘Assigning state taxes in a federal country: the case of Australia’, Melbourne Institute – Australia’s future tax and transfer policy conference proceedings of a conference, Melbourne Institute of Applied Economic and Social Research, Melbourne, pp. 72-94.",Seminar
"Fan, W, Gordon, MD & Pathak, R 2000, ‘Personalization of search engine services for effective retrieval and knowledge management’, Proceedings of the twenty-first international conference on information systems, pp. 20-34. Available from: ACM Portal: ACM Digital Library. [24 June 2004].",Seminar
"Bowden, FJ & Fairley, CK 1996, ‘Endemic STDs in the Northern Territory: estimations of effective rates of partner exchange’, paper presented to the Scientific Meeting of the Royal Australian College of Physicians, Darwin, 24-25 June.",Seminar
"Rowling, L. (1993, September). Schools and grief: How does Australia compare to the United States. In Wandarna coowar: Hidden grief. Paper presented at the Proceedings of the 8th National Conference of the National Association for Loss and Grief (Australia), Yeppoon, Queensland (pp. 196-201). Turramurra, NSW: National Association for Loss and Grief.",Seminar
"Armstrong, D. B., Fogarty, G. J., & Dingsdag, D. (2007). Scales measuring characteristics of small business information systems. In W-G. Tan (Ed.), Proceedings of Research, Relevance and Rigour: Coming of age: 18th Australasian Conference on Information Systems (pp. 163-171). Toowoomba, Australia: University of Southern Queensland.",Seminar
"Game, A. (2001). Creative ways of being. In J. R. Morss, N. Stephenson & J. F. H. V. Rappard (Eds.), Theoretical issues in psychology: Proceedings of the International Society for Theoretical Psychology 1999 Conference (pp. 3-12). Sydney: Springer.",Seminar
"Santhanam, E., Martin, K., Goody, A., & Hicks, O. (2001, February). Bottom-up steps towards closing the loop in feedback on teaching: A CUTSD project. Paper presented at Teaching and Learning Forum - Expanding horizons in teaching and learning, Perth, Australia.",Seminar
"Singh, Kamal, and Gary Best. 2004. ""Film Induced Tourism: Motivations of Visitors to the Hobbiton Movie Set as Featured in 'The Lord of the Rings'."" In Proceedings of the 1st International Tourism and Media Conference, Melbourne, 2004, 98-111. Melbourne: Tourism Research Unit, Monash University.",Seminar
